기록ID,일자,창고,지종,평량(g/㎡),구분,입고수량(연),출고수량(연),재고수량(연),단위원가,재고금액,LOT번호,비고
INV-00001,2024-06-30,부산물류센터,모조지,100,출고,0,184,22,63037,1386814,LOT-2406-903,재검수
INV-00002,2025-03-04,부산물류센터,백상지,150,출고,0,170,337,59677,20111149,LOT-2503-825,정상
INV-00003,2024-05-21,광주창고,복사용지,300,조정,0,0,411,86407,35513277,LOT-2405-322,라벨확인
INV-00004,2024-08-10,안산창고,백상지,150,조정,0,0,431,76556,32995636,LOT-2408-666,정상
INV-00005,2025-05-30,부산물류센터,아이보리지,80,조정,0,0,460,68194,31369240,LOT-2505-585,재검수
INV-00006,2024-10-19,광주창고,아트지,300,입고,245,0,454,39524,17943896,LOT-2410-055,
INV-00007,2024-07-23,대전창고,모조지,150,출고,0,94,705,85009,59931345,LOT-2407-064,긴급
INV-00008,2024-07-27,부산물류센터,아트지,180,입고,365,0,928,86887,80631136,LOT-2407-692,라벨확인
INV-00009,2024-08-17,부산물류센터,마닐라지,120,조정,0,0,611,75412,46076732,LOT-2408-681,
INV-00010,2025-01-25,광주창고,마닐라지,180,입고,56,0,721,78737,56769377,LOT-2501-258,정상
INV-00011,2025-03-29,안산창고,아이보리지,300,입고,447,0,1164,77507,90218148,LOT-2503-988,정상
INV-00012,2024-10-28,광주창고,모조지,80,입고,426,0,717,63675,45654975,LOT-2410-123,재검수
INV-00013,2024-02-11,광주창고,크라프트지,300,입고,132,0,502,68272,34272544,LOT-2402-867,긴급
INV-00014,2024-01-06,대전창고,라이너지,100,입고,215,0,355,69117,24536535,LOT-2401-053,라벨확인
INV-00015,2024-11-04,광주창고,복사용지,300,입고,451,0,862,76378,65837836,LOT-2411-326,라벨확인
INV-00016,2024-08-13,안산창고,이면지,80,입고,262,0,879,65591,57654489,LOT-2408-550,재검수
INV-00017,2024-04-04,대전창고,백상지,120,출고,0,189,590,53645,31650550,LOT-2404-301,정상
INV-00018,2025-05-01,부산물류센터,아트지,80,출고,0,248,536,45751,24522536,LOT-2505-927,라벨확인
INV-00019,2024-09-06,인천물류센터,아이보리지,200,출고,0,151,65,65404,4251260,LOT-2409-742,긴급
INV-00020,2024-01-26,부산물류센터,아이보리지,300,출고,0,269,351,32873,11538423,LOT-2401-304,정상
INV-00021,2024-11-24,부산물류센터,스노우지,80,조정,0,0,275,30480,8382000,LOT-2411-642,
INV-00022,2024-08-03,안산창고,마닐라지,80,조정,0,0,333,76054,25325982,LOT-2408-900,재검수
INV-00023,2024-03-14,안산창고,아트지,250,입고,94,0,533,34800,18548400,LOT-2403-056,정상
INV-00024,2024-09-14,부산물류센터,스노우지,120,출고,0,218,146,59564,8696344,LOT-2409-646,재검수
INV-00025,2025-03-19,대전창고,아트지,200,입고,323,0,1112,30386,33789232,LOT-2503-657,라벨확인
INV-00026,2024-03-05,부산물류센터,아트지,80,조정,0,0,512,48994,25084928,LOT-2403-806,긴급
INV-00027,2024-03-29,대전창고,라이너지,200,조정,0,0,475,61063,29004925,LOT-2403-161,라벨확인
INV-00028,2024-08-13,안산창고,마닐라지,300,조정,0,0,381,49533,18872073,LOT-2408-694,긴급
INV-00029,2024-01-12,부산물류센터,이면지,100,입고,52,0,278,67533,18774174,LOT-2401-611,재검수
INV-00030,2024-03-28,대전창고,백상지,180,출고,0,282,34,39335,1337390,LOT-2403-165,정상
INV-00031,2024-08-14,부산물류센터,크라프트지,120,입고,393,0,610,82406,50267660,LOT-2408-581,
INV-00032,2025-04-17,부산물류센터,스노우지,150,입고,178,0,965,36435,35159775,LOT-2504-203,라벨확인
INV-00033,2025-05-13,대전창고,아이보리지,100,조정,0,0,772,36556,28221232,LOT-2505-292,라벨확인
INV-00034,2024-03-12,안산창고,아이보리지,250,출고,0,176,385,75446,29046710,LOT-2403-599,정상
INV-00035,2025-01-08,대전창고,마닐라지,100,출고,0,104,0,81489,0,LOT-2501-227,재검수
INV-00036,2024-10-10,대전창고,모조지,180,출고,0,248,343,53510,18353930,LOT-2410-794,긴급
INV-00037,2025-05-13,부산물류센터,스노우지,100,조정,0,0,736,85167,62682912,LOT-2505-288,정상
INV-00038,2024-07-20,대전창고,스노우지,80,조정,0,0,129,32044,4133676,LOT-2407-833,라벨확인
INV-00039,2025-02-18,부산물류센터,백상지,70,출고,0,298,366,88588,32423208,LOT-2502-553,재검수
INV-00040,2024-06-01,대전창고,마닐라지,120,조정,0,0,727,49070,35673890,LOT-2406-138,재검수
INV-00041,2025-05-28,부산물류센터,스노우지,200,조정,0,0,442,73429,32455618,LOT-2505-245,라벨확인
INV-00042,2024-06-18,부산물류센터,모조지,250,입고,339,0,602,67081,40382762,LOT-2406-676,정상
INV-00043,2025-05-10,대전창고,아트지,120,입고,82,0,681,47324,32227644,LOT-2505-379,정상
INV-00044,2024-02-13,안산창고,이면지,180,출고,0,252,245,87773,21504385,LOT-2402-048,
INV-00045,2024-11-27,인천물류센터,이면지,150,조정,0,0,373,67366,25127518,LOT-2411-179,재검수
INV-00046,2025-01-22,대전창고,복사용지,80,출고,0,212,417,89457,37303569,LOT-2501-229,라벨확인
INV-00047,2025-02-19,대전창고,아이보리지,250,조정,0,0,563,62888,35405944,LOT-2502-904,정상
INV-00048,2025-03-26,안산창고,백상지,80,조정,0,0,613,43861,26886793,LOT-2503-154,정상
INV-00049,2024-06-10,대전창고,복사용지,80,입고,262,0,679,83161,56466319,LOT-2406-339,
INV-00050,2025-05-08,광주창고,라이너지,120,입고,381,0,1085,84615,91807275,LOT-2505-421,
INV-00051,2024-09-06,인천물류센터,모조지,100,조정,0,0,239,32568,7783752,LOT-2409-913,라벨확인
INV-00052,2024-05-30,인천물류센터,모조지,150,조정,0,0,279,69279,19328841,LOT-2405-993,라벨확인
INV-00053,2024-01-20,대전창고,스노우지,120,조정,0,0,559,86839,48543001,LOT-2401-494,정상
INV-00054,2024-08-12,광주창고,복사용지,100,입고,369,0,1065,73230,77989950,LOT-2408-524,긴급
INV-00055,2024-06-20,대전창고,라이너지,80,출고,0,217,118,38664,4562352,LOT-2406-112,
INV-00056,2024-07-26,부산물류센터,이면지,200,조정,0,0,229,41627,9532583,LOT-2407-488,라벨확인
