거래ID,구매일자,공급업체,지종,분류,평량(g/㎡),규격,수량(연),단가(원),공급가액,부가세,합계금액,입고창고,담당자,부서,결제조건
PO-00001,2024-04-24,한솔제지,크라프트지,포장지,120,636x939,76,41434,3148984,314898,3463882,부산물류센터,김철수,생산지원팀,현금
PO-00002,2024-01-31,무림페이퍼,백상지,비코팅지,120,A4,313,31478,9852614,985261,10837875,부산물류센터,이영희,생산지원팀,30일 어음
PO-00003,2025-04-04,페이퍼코리아,크라프트지,포장지,70,636x939,362,83392,30187904,3018790,33206694,대전창고,박민수,구매2팀,30일 어음
PO-00004,2024-12-10,무림페이퍼,스노우지,코팅지,200,788x1091,188,73082,13739416,1373941,15113357,부산물류센터,박민수,구매1팀,90일 어음
PO-00005,2024-05-07,신풍제지,스노우지,코팅지,300,594x841,429,75400,32346600,3234660,35581260,부산물류센터,이영희,구매1팀,현금
PO-00006,2024-08-21,무림SP,스노우지,코팅지,120,788x1091,199,64434,12822366,1282236,14104602,광주창고,한지민,자재관리팀,30일 어음
PO-00007,2025-01-14,한국제지,백상지,비코팅지,150,A3,484,37358,18081272,1808127,19889399,부산물류센터,한지민,구매2팀,계좌이체
PO-00008,2024-09-07,깨끗한나라,라이너지,골판지원지,200,594x841,478,56785,27143230,2714323,29857553,대전창고,김철수,구매2팀,현금
PO-00009,2024-11-19,신풍제지,크라프트지,포장지,80,636x939,472,69245,32683640,3268364,35952004,안산창고,한지민,생산지원팀,90일 어음
PO-00010,2025-04-14,깨끗한나라,크라프트지,포장지,100,636x939,386,62438,24101068,2410106,26511174,부산물류센터,정수진,생산지원팀,60일 어음
PO-00011,2024-08-12,깨끗한나라,이면지,재생지,250,788x1091,391,34175,13362425,1336242,14698667,인천물류센터,이영희,구매2팀,90일 어음
PO-00012,2024-03-06,신풍제지,마닐라지,판지,250,A4,133,29504,3924032,392403,4316435,인천물류센터,한지민,자재관리팀,60일 어음
PO-00013,2024-04-24,무림SP,마닐라지,판지,100,500x700,6,62522,375132,37513,412645,부산물류센터,이영희,구매1팀,60일 어음
PO-00014,2025-06-03,페이퍼코리아,백상지,비코팅지,100,594x841,395,49174,19423730,1942373,21366103,부산물류센터,최동욱,구매1팀,계좌이체
PO-00015,2024-11-27,대양제지,아트지,코팅지,80,594x841,454,68306,31010924,3101092,34112016,안산창고,김철수,구매2팀,계좌이체
PO-00016,2024-03-21,무림페이퍼,라이너지,골판지원지,80,A4,397,44483,17659751,1765975,19425726,안산창고,한지민,생산지원팀,계좌이체
PO-00017,2024-06-18,무림SP,이면지,재생지,200,636x939,480,54365,26095200,2609520,28704720,대전창고,정수진,자재관리팀,90일 어음
PO-00018,2025-06-13,대양제지,스노우지,코팅지,120,636x939,37,72313,2675581,267558,2943139,인천물류센터,최동욱,구매2팀,계좌이체
PO-00019,2024-08-13,한솔제지,스노우지,코팅지,70,636x939,39,32117,1252563,125256,1377819,대전창고,김철수,구매2팀,60일 어음
PO-00020,2025-05-12,전주페이퍼,이면지,재생지,100,A3,483,89953,43447299,4344729,47792028,안산창고,정수진,생산지원팀,30일 어음
PO-00021,2024-04-06,무림페이퍼,마닐라지,판지,180,500x700,215,89213,19180795,1918079,21098874,인천물류센터,한지민,구매1팀,현금
PO-00022,2025-02-16,한국제지,스노우지,코팅지,120,636x939,102,86800,8853600,885360,9738960,안산창고,정수진,구매2팀,60일 어음
