연월,공급업체,주요지종,거래건수,총수량(연),총구매금액,평균단가,납기준수율(%),불량률(%),반품수량(연)
2024-01,한솔제지,크라프트지,6,2192,151020032,68896,89.9,0.53,99
2024-01,깨끗한나라,마닐라지,2,170,9682350,56955,91.1,0.32,1
2024-01,전주페이퍼,라이너지,9,1525,58915325,38633,97.9,0.67,20
2024-01,무림SP,스노우지,2,2400,190029600,79179,90.6,1.83,5
2024-01,신풍제지,마닐라지,1,1982,116646646,58853,98.6,0.71,4
2024-01,대양제지,마닐라지,15,2974,231888728,77972,90.6,0.94,81
2024-01,아세아제지,스노우지,2,2391,142101912,59432,93.8,3.17,22
2024-01,페이퍼코리아,스노우지,9,238,14583450,61275,98.1,3.04,4
2024-02,한솔제지,아이보리지,9,1920,68202240,35522,90.3,2.02,38
2024-02,무림페이퍼,복사용지,4,1950,115313250,59135,99.2,3.49,25
2024-02,깨끗한나라,아트지,9,1054,47289818,44867,98.7,0.18,34
2024-02,전주페이퍼,아이보리지,14,2890,102964920,35628,88.0,2.33,78
2024-02,무림SP,라이너지,9,1025,64075825,62513,99.1,3.41,9
2024-02,한국제지,이면지,2,229,11488701,50169,92.8,3.14,7
2024-02,대양제지,마닐라지,2,2120,92747880,43749,88.9,2.03,55
2024-02,아세아제지,크라프트지,3,1019,55143185,54115,97.8,3.25,25
2024-02,페이퍼코리아,라이너지,12,1386,77399784,55844,91.1,0.35,25
2024-03,한솔제지,모조지,13,2444,102992604,42141,89.2,1.63,40
2024-03,무림페이퍼,라이너지,9,1517,73736819,48607,91.5,1.0,15
2024-03,깨끗한나라,복사용지,13,2860,157119820,54937,88.5,2.94,83
2024-03,전주페이퍼,마닐라지,12,1066,62161658,58313,93.9,2.4,16
2024-03,한국제지,이면지,7,1902,135867468,71434,90.9,1.67,17
2024-03,신풍제지,백상지,1,960,41823360,43566,97.5,1.37,40
2024-03,아세아제지,아트지,10,1110,44304540,39914,99.5,0.77,41
2024-03,페이퍼코리아,스노우지,3,426,24166128,56728,88.5,1.67,5
2024-04,무림페이퍼,아트지,12,1667,112545838,67514,92.4,1.55,45
2024-04,깨끗한나라,라이너지,3,1176,62727840,53340,98.2,0.22,39
2024-04,전주페이퍼,마닐라지,11,1258,85160310,67695,98.2,1.73,5
2024-04,무림SP,이면지,3,1767,84941457,48071,90.9,3.48,69
2024-04,아세아제지,복사용지,9,2035,117106110,57546,93.8,1.42,23
2024-04,페이퍼코리아,크라프트지,10,947,34963240,36920,88.7,3.47,33
2024-05,한솔제지,스노우지,10,1003,45597383,45461,90.9,0.92,34
2024-05,전주페이퍼,아이보리지,4,2408,145575640,60455,98.8,3.47,22
2024-05,무림SP,복사용지,10,1352,79109576,58513,88.3,2.48,18
2024-05,한국제지,크라프트지,4,2066,145710848,70528,90.0,0.23,7
2024-05,신풍제지,라이너지,4,131,9104631,69501,88.0,3.22,1
2024-05,아세아제지,아트지,3,1375,53491625,38903,89.7,2.5,18
2024-06,전주페이퍼,스노우지,11,1670,122586350,73405,91.9,1.2,20
2024-06,무림SP,아이보리지,7,2668,178566572,66929,90.0,3.39,91
2024-06,한국제지,크라프트지,10,768,45924096,59797,96.4,1.1,11
2024-06,신풍제지,복사용지,12,2396,145348548,60663,88.4,2.15,117
2024-06,아세아제지,라이너지,11,2366,98950852,41822,89.6,2.63,30
2024-06,페이퍼코리아,스노우지,6,737,56522741,76693,97.4,2.38,21
2024-07,한솔제지,스노우지,5,908,46628524,51353,92.0,2.78,0
2024-07,무림페이퍼,마닐라지,8,1768,81152968,45901,93.7,1.39,69
2024-07,깨끗한나라,백상지,14,2013,146713479,72883,89.9,0.35,4
2024-07,전주페이퍼,스노우지,6,1119,46844697,41863,91.9,3.12,10
2024-07,무림SP,복사용지,9,431,24630357,57147,99.3,3.14,0
2024-07,한국제지,마닐라지,11,725,54230725,74801,89.8,0.44,13
2024-07,대양제지,크라프트지,9,2262,118492608,52384,91.4,0.43,50
2024-07,아세아제지,아트지,14,2060,92833900,45065,92.1,1.55,37
2024-08,한솔제지,아트지,8,867,35855652,41356,90.4,2.27,5
2024-08,무림페이퍼,라이너지,2,1313,80156024,61048,93.6,2.35,11
2024-08,깨끗한나라,마닐라지,7,807,47867205,59315,92.2,1.62,16
2024-08,전주페이퍼,복사용지,5,976,51337600,52600,88.7,2.66,42
2024-08,무림SP,마닐라지,11,1458,102765672,70484,99.2,2.11,70
2024-08,한국제지,이면지,7,2190,136732650,62435,95.9,3.28,73
2024-08,대양제지,이면지,2,1667,62137425,37275,94.6,1.86,73
2024-08,아세아제지,라이너지,10,653,28001946,42882,90.0,3.45,13
2024-09,한솔제지,마닐라지,7,370,29514530,79769,90.3,2.9,4
2024-09,깨끗한나라,마닐라지,15,324,13187772,40703,94.4,1.98,8
2024-09,전주페이퍼,복사용지,15,100,7583200,75832,94.0,1.53,3
2024-09,무림SP,스노우지,10,2458,179891188,73186,98.6,2.01,12
2024-09,페이퍼코리아,복사용지,11,2038,147730544,72488,93.4,0.69,51
2024-10,한솔제지,아트지,10,2838,174046026,61327,92.6,3.09,60
2024-10,무림페이퍼,아트지,8,1150,68319200,59408,91.9,2.8,19
2024-10,깨끗한나라,스노우지,8,2901,231737682,79882,99.2,0.88,76
2024-10,무림SP,마닐라지,14,1364,71822784,52656,95.0,0.4,56
2024-10,한국제지,이면지,14,1717,114608033,66749,98.0,2.89,65
2024-10,대양제지,모조지,12,2125,130551500,61436,97.0,1.88,72
2024-10,아세아제지,백상지,4,872,33812672,38776,88.4,0.27,23
2024-10,페이퍼코리아,이면지,5,1558,101929034,65423,92.6,3.24,3
2024-11,한솔제지,모조지,8,2483,159495505,64235,99.0,1.71,70
2024-11,무림페이퍼,크라프트지,3,1109,45383607,40923,88.3,0.27,54
2024-11,깨끗한나라,백상지,4,956,74019256,77426,95.8,1.01,26
2024-11,전주페이퍼,라이너지,14,2844,101198052,35583,98.5,2.3,2
2024-11,무림SP,크라프트지,10,1301,100335722,77122,92.9,1.38,44
2024-11,한국제지,이면지,4,1961,107464761,54801,97.5,1.45,13
2024-11,신풍제지,복사용지,11,1582,113579690,71795,95.0,1.11,13
2024-11,대양제지,아이보리지,6,1182,90992724,76982,97.9,0.99,45
2024-11,페이퍼코리아,백상지,4,664,45750264,68901,98.3,2.84,25
2024-12,한솔제지,라이너지,11,623,22844164,36668,99.5,0.98,26
2024-12,무림페이퍼,복사용지,12,194,14202546,73209,97.4,1.27,3
2024-12,깨끗한나라,아이보리지,11,1998,157903938,79031,93.8,2.97,84
2024-12,무림SP,크라프트지,2,1978,85813552,43384,96.3,2.0,23
2024-12,대양제지,크라프트지,4,1505,74702180,49636,92.8,3.12,47
2024-12,아세아제지,라이너지,5,1949,83257382,42718,88.6,2.26,74
2025-01,한솔제지,스노우지,15,846,57357954,67799,98.0,1.4,19
2025-01,무림페이퍼,백상지,14,667,29349334,44002,91.9,3.46,29
2025-01,깨끗한나라,스노우지,14,2981,139567439,46819,93.6,2.25,45
2025-01,전주페이퍼,크라프트지,1,69,4459125,64625,90.4,2.73,1
2025-01,무림SP,복사용지,13,410,17826800,43480,93.0,1.56,13
2025-01,신풍제지,아이보리지,1,2236,107480048,48068,98.9,3.13,96
2025-01,아세아제지,백상지,11,66,5020620,76070,90.6,3.08,2
2025-01,페이퍼코리아,크라프트지,7,2111,155325269,73579,89.9,2.9,38
2025-02,무림페이퍼,아이보리지,9,2492,172815216,69348,93.0,2.44,17
2025-02,깨끗한나라,백상지,15,2057,120422951,58543,89.9,3.18,51
2025-02,전주페이퍼,아트지,4,587,28669080,48840,94.8,0.67,11
2025-02,무림SP,크라프트지,13,203,12096364,59588,96.9,2.22,9
2025-02,신풍제지,스노우지,11,130,4960930,38161,92.8,1.39,4
2025-02,대양제지,아트지,12,677,32812159,48467,91.5,2.35,33
2025-02,아세아제지,마닐라지,10,2920,128447880,43989,97.6,0.46,30
2025-02,페이퍼코리아,백상지,13,485,32795215,67619,95.0,2.75,16
2025-03,무림페이퍼,아트지,7,1259,57297090,45510,94.3,3.2,44
2025-03,전주페이퍼,스노우지,1,102,8059632,79016,98.4,2.94,5
2025-03,무림SP,스노우지,2,2145,85624110,39918,98.4,2.29,58
2025-03,신풍제지,모조지,8,255,10592955,41541,98.1,3.0,5
2025-03,아세아제지,아트지,12,524,21601900,41225,88.1,0.57,20
2025-03,페이퍼코리아,크라프트지,6,1842,139531500,75750,98.1,0.42,43
2025-04,한솔제지,크라프트지,7,1689,109648191,64919,97.6,2.45,61
2025-04,깨끗한나라,모조지,13,733,31085797,42409,96.0,0.3,10
2025-04,전주페이퍼,복사용지,15,2469,164514408,66632,95.8,0.72,48
2025-04,한국제지,라이너지,14,2853,124282386,43562,98.6,0.48,105
2025-04,신풍제지,아이보리지,2,1121,87352804,77924,88.1,3.05,33
2025-04,아세아제지,아이보리지,10,967,76294366,78898,94.0,2.44,39
2025-04,페이퍼코리아,아이보리지,11,1068,71110644,66583,95.6,2.28,9
2025-05,무림페이퍼,모조지,10,273,9763299,35763,93.8,1.7,7
2025-05,전주페이퍼,아이보리지,8,1363,69222681,50787,99.2,0.27,28
2025-05,무림SP,스노우지,7,1701,85730400,50400,93.3,2.82,57
2025-05,한국제지,스노우지,8,1881,104796153,55713,99.3,2.63,2
2025-05,신풍제지,이면지,7,196,14016352,71512,88.0,0.41,9
2025-05,아세아제지,백상지,15,2132,153190596,71853,95.5,1.65,43
2025-05,페이퍼코리아,아이보리지,1,963,62386029,64783,94.4,2.21,30
2025-06,한솔제지,스노우지,6,2982,192807174,64657,89.1,2.34,0
2025-06,무림페이퍼,이면지,14,2645,143187075,54135,94.0,2.49,11
2025-06,전주페이퍼,스노우지,14,2986,184588548,61818,90.9,0.77,30
2025-06,한국제지,스노우지,8,830,47431180,57146,96.7,0.26,40
2025-06,대양제지,복사용지,13,1895,123127625,64975,99.0,0.56,63
2025-06,아세아제지,마닐라지,12,248,17671488,71256,97.6,1.74,8
